name,allyCode,guild,unit,relic,rarity,level,gearLevel,power,speed,health,protection,armor,resistance,physicaldamage,specialdamage,physicalcc,specialcc,critdamage,potency,tenacity,critavoidance
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,Magmatrooper,1,7,85,11,15330,177.0,25976.0,41035.0,32.21690590111643,18.216805644644,2732.0,1662.0,35.099000000000004,13.599,1.5,0.33101,1.0536699999999999,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,Hermit Yoda,5,7,85,13,28780,323.0,57863.0,90656.0,56.7062818336163,53.00405455215629,4102.0,6460.0,46.50366666666667,20.628666666666668,1.5,0.50933,0.6742,7.5
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,Greef Karga,3,7,85,13,27562,303.0,66810.0,55114.0,50.562233423807676,37.65281173594132,4727.0,3080.0,49.19100000000001,18.816,1.5,0.33034,0.55419,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,"Garazeb ""Zeb"" Orrelios",1,7,85,8,13857,160.0,23363.0,12183.0,32.0,14.829659318637276,1975.0,1450.0,31.80966666666667,11.393,1.5,0.19352,0.47755000000000003,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,Barriss Offee,4,7,85,13,24768,210.0,94947.0,59492.0,54.12018711766823,41.27130354675265,4645.0,4373.0,61.28633333333333,17.453000000000003,1.5,0.27626,0.52669,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,"CT-21-0408 ""Echo""",7,7,85,13,29271,254.0,60305.0,49160.0,44.201312910284464,37.09916132215096,6807.0,10124.0,46.675,24.133333333333333,1.92,0.80491,0.5486,13.5
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,B1 Battle Droid,4,7,85,13,24813,281.0,38392.0,42973.0,38.49493487698987,20.16280525986224,8142.0,4440.0,61.291666666666664,18.5,1.56,0.9675499999999999,0.30706,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,Colonel Starck,3,7,85,13,23682,306.0,41718.0,63060.0,44.733420026007806,26.17255356108859,4546.0,3511.0,84.509,33.884,1.9649999999999999,0.42566000000000004,0.53916,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,BB-8,7,7,85,13,32058,305.0,56057.0,50679.0,58.045409674234946,56.14035087719298,5104.0,7864.0,60.46066666666666,27.46066666666667,1.5,0.65321,0.44999999999999996,13.5
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,Poggle the Lesser,1,7,85,12,17373,219.0,25140.0,33924.0,26.343154246100518,25.82897033158813,2539.0,4950.0,33.326,26.492666666666665,1.5,0.44,0.27,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,First Order SF TIE Pilot,3,7,85,13,20286,207.0,41926.0,52454.0,44.733420026007806,33.35075797177209,4608.0,5873.0,71.05133333333332,46.63466666666667,1.8,0.49520000000000003,0.44240999999999997,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,General Kenobi,8,7,85,13,32232,186.0,107667.0,72405.0,75.2090219716119,65.34384343571624,5921.0,5701.0,46.62500000000001,10.0,1.5,0.0,0.58042,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,Jawa Scavenger,1,7,85,9,14155,195.0,12809.0,18505.0,26.25795257374205,26.59758203799655,2200.0,2746.0,27.158000000000005,11.908000000000001,1.5,0.6744600000000001,0.308,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,L3-37,1,7,85,12,17557,145.0,26460.0,75800.0,34.84925907000511,26.512968299711815,3257.0,2334.0,33.08333333333333,10.416666666666668,1.5,0.42245,0.7351,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,Droideka,1,7,85,12,20175,176.0,31264.0,53159.0,34.915773353751916,21.34484885872918,4335.0,1997.0,43.062999999999995,15.604666666666667,1.5,0.48073,0.48202999999999996,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,Ewok Scout,1,7,85,10,13756,187.0,13780.0,25461.0,30.36592026215183,16.39344262295082,2620.0,1842.0,45.864666666666665,20.281333333333336,2.16,0.13651000000000002,0.34764,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,K-2SO,1,7,85,9,14385,200.0,26656.0,20104.0,34.10852713178294,20.461634435433563,2256.0,2102.0,32.177,20.218666666666667,1.5,0.448,0.25677,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,Nightsister Acolyte,1,7,85,11,15655,254.0,22351.0,22602.0,24.867413081909252,23.789599521817095,2123.0,4130.0,29.069,23.527333333333335,1.8599999999999999,0.23928,0.3467,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,Sith Empire Trooper,4,7,85,13,21457,138.0,54858.0,111873.0,62.24459579508439,58.10055865921788,4459.0,3725.0,49.049,15.549000000000001,1.5,0.62518,0.44930000000000003,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,Hunter,5,7,85,13,25801,246.0,61493.0,63047.0,51.79584120982986,35.83291394061399,5990.0,6415.0,81.249,28.749000000000002,2.16,0.3433,0.45416999999999996,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,IG-86 Sentinel Droid,1,7,85,11,15600,175.0,14291.0,35505.0,28.969359331476323,14.372061786433848,2670.0,1846.0,53.298,22.673000000000002,2.16,0.45176000000000005,0.28773000000000004,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,Sith Marauder,7,7,85,13,26097,251.0,55790.0,65506.0,51.42857142857142,27.597955706984667,7039.0,6347.0,79.88833333333332,26.97166666666667,2.16,0.43622000000000005,0.46606000000000003,0.0
Tyfon la Mandale Φ,112477899, Clans Mandaloriens,Rey (Jedi Training),7,7,85,13,35284,294.0,69389.0,69435.0,56.26072041166381,27.01774470520893,5867.0,5470.0,74.83333333333333,10.833333333333334,1.92,0.67715,0.46231,0.0
